,IUPAC,SMILES1,SMILES2
0,4-aminobutyric acid,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,NCCCC(=O)O
1,(R/S)-4-amino-3-hydroxy butyric acid,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,NCC(CC(=O)O)O
2,"(3-aminocyclohexane)carboxylic acid, ",,
3,"(3S,4S)-4-amino-3-hydroxy-6-methylheptanoic acid",CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,N[C@H]([C@H](CC(=O)O)O)CC(C)C
4,"(3S,4R)-4-amino-3-hydroxy-5-methylhexanoic acid",CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,N[C@@H]([C@H](CC(=O)O)O)C(C)C
5,"(3S,4R)-4-amino-3-hydroxy-5-phenylpentanoic acid",CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,N[C@@H]([C@H](CC(=O)O)O)CC1=CC=CC=C1
6,Benzenepropanoic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
7,Cinnamic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
8,Benzoic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
9,Phenyl Acetic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
10,"3,4-dihydroxy Benzenepropanoic Acid-CME",N[C@@H](CSSCCO)C([O-])=O,
11,Pyrrolepropanoic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
12,4-Amino-Benzenepropanoic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
13,"3,4-dihydroxycinnamic Acid-CME",N[C@@H](CSSCCO)C([O-])=O,
14,Pyrrole Propenoic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
15,4-Azido-Benzenepropanoic Acid-CME,N[C@@H](CSSCCO)C([O-])=O,
16,p-NO2-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
17,p-CN-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
18,p-N3-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
19,m-CHO-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
20,m-NO2-CH2-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
21,o-F-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
22,o-I-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
23,o-CHO-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
24,p-Methoxy-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
25,p-Ethynyl-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
26,p-HOCH2-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
27,4N-Abz-CME,N[C@@H](CSSCCO)C([O-])=O,
28,"3-OH, 4-NO2-Bz-CME",N[C@@H](CSSCCO)C([O-])=O,
29,"3-NH2, 4-NO2-Bz-CME",N[C@@H](CSSCCO)C([O-])=O,
30,"3-NO2, 4-NH2-Bz-CME",N[C@@H](CSSCCO)C([O-])=O,
31,Cyanomethyl isonicotinate,[O-]C(=O)c1ccncc1,C(C1=CC=NC=C1)(=O)OCC#N
32,Cyanomethyl 2-fluoroisonicotinate,[O-]C(=O)c1ccnc(F)c1,FC=1C=C(C(=O)OCC#N)C=CN1
33,Cyanomethyl 2-oxo-2H-chromene-3-carboxylate,[O-]C(=O)C1=Cc2ccccc2OC1=O,O=C1OC2=CC=CC=C2C=C1C(=O)OCC#N
34,Cyanomethyl 1H-pyrrole-2-carboxylate,[O-]C(=O)c1[nH]ccc1,N1C(=CC=C1)C(=O)OCC#N
35,Cyanomethyl thiophene-2-carboxylate,[O-]C(=O)c1sccc1,S1C(=CC=C1)C(=O)OCC#N
36,"Pyrrole-ABT : 2-(4-(((1H-pyrrole-2-carbonyl)thio)methyl)benzamido)ethan-1-
aminium chloride",[Cl-],[Cl-].N1C(=CC=C1)C(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1
37,"Thiophene-ABT : 2-(4-(((thiophene-2-carbonyl)thio)methyl)benzamido)ethan-1-
aminium chloride",[Cl-],[Cl-].S1C(=CC=C1)C(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1
38,2-(4-((Pentanoylthio)methyl)benzamido)ethan-1-aminium chloride,[Cl-],[Cl-].C(CCCC)(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1
39,"2-(4-((Pent-4-enoylthio)methyl)benzamido)ethan-1-
aminium chloride",[Cl-],[Cl-].C(CCC=C)(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1
40,"2-(4-(((3-Cyanopropanoyl)thio)methyl)benzamido)ethan-1-
aminium chloride",[Cl-],[Cl-].C(#N)CCC(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1
41,"2-(4-(((4-Methoxy-4-oxobutanoyl)thio)methyl)benzamido)
ethan-1-aminium chloride",[Cl-],[Cl-].COC(CCC(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1)=O
42,"2-(4-(((3-Nitropropanoyl)thio)methyl)benzamido)ethan-1-
aminium chloride",[Cl-],[Cl-].[N+](=O)([O-])CCC(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1
43,"2-(4-(((Cyclohexanecarbonyl)thio)methyl)benzamido)ethan-
1-aminium chloride",[Cl-],[Cl-].C1(CCCCC1)C(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1
44,"2-(4-(((2-Bromo-2-methylpropanoyl)thio)methyl)benzamido)
ethan-1-aminium chloride",[Cl-],[Cl-].BrC(C(=O)SCC1=CC=C(C(=O)NCC[NH3+])C=C1)(C)C
45,p-formyl-benzoate CME : Cyanomethyl 4-formylbenzoate,[O-]C(=O)c1ccc(C=O)cc1,C(=O)C1=CC=C(C(=O)OCC#N)C=C1
46,p-formyl-phenylacetate CME : Cyanomethyl 2-(4-formylphenyl)acetate,[O-]C(=O)Cc1ccc(C=O)cc1,C(=O)C1=CC=C(C=C1)CC(=O)OCC#N
47,p-formyl-benzylpropenoic acid CME : Cyanomethyl 3-(4-formylphenyl)propanoate,[O-]C(=O)CCc1ccc(C=O)cc1,C(=O)C1=CC=C(C=C1)CCC(=O)OCC#N
48,p-hydrazine-benzyl-CME: Cyanomethyl 4-hydrazineylbenzoate,NNc1ccc(cc1)C([O-])=O,N(N)C1=CC=C(C(=O)OCC#N)C=C1
49,"p-hydrazine-phenylacetate-CME: 2-(4-(2-(cyanomethoxy)-2-
oxoethyl)phenyl)hydrazinium chloride",[Cl-],[Cl-].C(#N)COC(CC1=CC=C(C=C1)N[NH3+])=O
50,"p-hydrazine-benzenepropanoic acid-CME: 2-(4-(3-(cyanomethoxy)-3-
oxopropyl)phenyl)hydrazinium chloride",[Cl-],[Cl-].C(#N)COC(CCC1=CC=C(C=C1)N[NH3+])=O
